beta_index0,beta_id1,run_name,tsv_trial,state,stim_set,family,condition,identity,cue,framefile,trialonset,roy_inclusion,source_tsv,repeat
662,663,imgB_2,39,imagery,B,naturalistic,T,B:T,T,blank00000_00000000_cueT.png,180.015103659996,True,nsdimagery_subj01_imgB_2.tsv,6
663,664,imgB_2,40,imagery,B,naturalistic,W,B:W,W,blank00000_00000000_cueW.png,188.014245925999,True,nsdimagery_subj01_imgB_2.tsv,7
664,665,imgB_2,41,imagery,B,naturalistic,D,B:D,D,blank00000_00000000_cueD.png,192.021210661998,True,nsdimagery_subj01_imgB_2.tsv,6
665,666,imgB_2,42,imagery,B,naturalistic,B,B:B,B,blank00000_00000000_cueB.png,196.014095611998,True,nsdimagery_subj01_imgB_2.tsv,6
666,667,imgB_2,43,imagery,B,naturalistic,C,B:C,C,blank00000_00000000_cueC.png,200.022230464998,True,nsdimagery_subj01_imgB_2.tsv,7
667,668,imgB_2,44,imagery,B,naturalistic,K,B:K,K,blank00000_00000000_cueK.png,204.012987430997,True,nsdimagery_subj01_imgB_2.tsv,6
668,669,imgB_2,45,imagery,B,naturalistic,D,B:D,D,blank00000_00000000_cueD.png,208.022088922,True,nsdimagery_subj01_imgB_2.tsv,7
669,670,imgB_2,46,imagery,B,naturalistic,K,B:K,K,blank00000_00000000_cueK.png,212.021412213999,True,nsdimagery_subj01_imgB_2.tsv,7
670,671,imgB_2,47,imagery,B,naturalistic,T,B:T,T,blank00000_00000000_cueT.png,216.022405912998,True,nsdimagery_subj01_imgB_2.tsv,7
671,672,imgB_2,48,imagery,B,naturalistic,B,B:B,B,blank00000_00000000_cueB.png,220.020636220997,True,nsdimagery_subj01_imgB_2.tsv,7
